агитировать,1
адаптироваться,1
арестовать,6
арестовывать,6
атаковать,6
бастовать,6
беречь,3
беспокоить,6
беспокоиться,1
бить,6
благодарить,6
благословить,3
блокировать,3
болеть,3
бомбить,6
бороться,3
бояться,6
бросаться,1
бросить,1
бушевать,3
вдохновить,6
вдохновлять,3
велеть,0
верить,1
взбунтоваться,3
взволновать,3
взламывать,3
взломать,6
взорвать,6
взрывать,6
винить,6
влюбляться,6
воевать,3
воздвигнуть,1
возлюбить,6
волновать,1
волноваться,3
ворваться,3
воровать,6
воспрепятствовать,6
воссоединиться,6
восстать,3
востребовать,1
впечатлить,3
враждовать,6
врать,3
вредить,6
врезаться,6
вспыхнуть,1
встревожить,3
вступиться,3
вторгаться,3
вторгнуться,6
выгнать,6
выгонять,3
выгореть,6
выдворить,6
вызволить,6
выздороветь,3
выиграть,6
выигрывать,6
выкрасть,6
вымереть,6
вынудить,6
вынуждать,6
выпустить,1
выручить,6
выслать,1
выследить,1
выстрелить,6
вытеснить,1
вытеснять,3
гордиться,6
грабить,6
грозить,3
грозиться,3
громить,3
давить,1
дарить,3
депортировать,6
дестабилизировать,6
деформировать,1
дисквалифицировать,3
дискредитировать,6
добить,3
добиться,3
доверять,6
договариваться,1
договориться,1
доминировать,1
донести,3
допустить,1
дорожать,1
достигать,1
достигнуть,3
драться,6
дружить,3
душить,6
жалеть,3
жаловаться,6
желать,1
забивать,3
забить,1
заблокировать,1
заболеть,6
забрасывать,1
забросить,1
завладеть,3
завоевать,6
завоёвывать,3
загнать,3
загореться,1
загрызть,3
загрязнить,3
загрязнять,3
задавить,6
задержать,6
задерживать,3
задеть,1
задохнуться,3
заинтересоваться,1
заминировать,6
заподозрить,3
запретить,6
запрещать,1
запугать,6
запугивать,6
зарезать,6
зарубить,3
заслуживать,6
заслужить,6
заставить,6
заставлять,3
застрелить,3
заступиться,3
затребовать,3
захватить,6
захватывать,3
захотеть,1
защитить,6
защищать,6
звереть,6
злоупотреблять,6
игнорировать,1
избавить,1
избивать,6
избить,6
извинить,3
изгнать,6
издеваться,6
изнасиловать,6
изобличить,3
израсходовать,1
изуродовать,6
инкриминировать,1
интересоваться,1
искоренить,1
испортить,3
испортиться,3
испугать,3
испугаться,3
исчерпать,3
казнить,6
конфликтовать,6
красть,6
критиковать,3
лгать,6
лидировать,3
ликвидировать,3
лишаться,3
лишиться,6
лоббировать,3
ловить,1
ломать,6
любить,6
мешать,3
модернизировать,3
молиться,3
мочить,1
мстить,6
наброситься,6
навредить,6
навязать,3
навязывать,6
надеяться,1
надоесть,3
надругаться,6
наехать,1
наказать,6
нападать,6
напасть,6
напугать,6
нарушать,3
нарушить,6
насиловать,6
наслаждаться,3
недооценивать,1
нейтрализовать,6
ненавидеть,6
нервничать,3
нравиться,3
нуждаться,3
обвалиться,3
обвинить,3
обвинять,6
обворовать,3
обезвредить,6
обезглавить,6
обезопасить,6
обеспокоить,3
обжаловать,1
обидеть,6
обидеться,3
обмануть,6
обманывать,6
обогатить,1
обогащать,1
обозвать,3
обокрасть,6
обрадоваться,3
обрушиться,3
обстреливать,6
обстрелять,6
объединиться,1
обыграть,1
обыгрывать,1
